category,series_name,tile_type,color,surface,size_cm,size_inches,sku_code,application,suitable_for,unnamed:_10,embedding_text,page_number,image_path
Resin,Rhode Island,Porcelain Tiles,Light Grey,Matt,60x60,"23.62""x23.62""",A06GRDIL-LIG.M0X0R,Wall/Floor,Domestic/Light Commercial,,"series Porcelain Tiles in Light Grey color with a Matt finish, size 60x60 cm, suitable for wall/floor applications in domestic/light commercial spaces.",21,./extracted_images/RHODE_ISLAND_LIGHT_GREY.jpeg
Resin,Rhode Island,Porcelain Tiles,White,Matt,60x60,"23.62""x23.62""",A06GRDIL-WHE.M0X0R,Wall/Floor,Domestic/Light Commercial,,"series Porcelain Tiles in White color with a Matt finish, size 60x60 cm, suitable for wall/floor applications in domestic/light commercial spaces.",21,./extracted_images/RHODE_ISLAND_WHITE.jpeg
Stone,Chianca Stone,Porcelain Tiles,Beige,Matt,90x180,"35.43""x70.86""",A93GCHCS-BEE.A0X5R,Wall,Domestic/Light Commercial,,"series Porcelain Tiles in Beige color with a Matt finish, size 90x180 cm, suitable for wall applications in domestic/light commercial spaces.",22,./extracted_images/SHINE_STONE_BEIGE.jpeg
Stone,Chianca Stone,Porcelain Tiles,Brown,Matt,90x180,"35.43""x70.86""",A93GCHCS-BRN.A0X5R,Wall,Domestic/Light Commercial,,"series Porcelain Tiles in Brown color with a Matt finish, size 90x180 cm, suitable for wall applications in domestic/light commercial spaces.",22,./extracted_images/CHIANCA_STONE_BROWN.jpeg
Stone,Chianca Stone,Porcelain Tiles,Grey,Matt,90x180,"35.43""x70.86""",A93GCHCS-GRY.A0X5R,Wall,Domestic/Light Commercial,,"series Porcelain Tiles in Grey color with a Matt finish, size 90x180 cm, suitable for wall applications in domestic/light commercial spaces.",22,./extracted_images/CHIANCA_STONE_BROWN.jpeg
Stone,Chianca Stone,Porcelain Tiles,White,Matt,90x180,"35.43""x70.86""",A93GCHCS-WHE.A0X5R,Wall,Domestic/Light Commercial,,"series Porcelain Tiles in White color with a Matt finish, size 90x180 cm, suitable for wall applications in domestic/light commercial spaces.",22,./extracted_images/CHIANCA_STONE_WHITE.jpeg
Stone,Chianca Stone,Porcelain Tiles,Beige,Matt,80x80,"31.49""x31.49""",A05GCHCS-BEE.A0X0R,Wall,Domestic/Light Commercial,,"series Porcelain Tiles in Beige color with a Matt finish, size 80x80 cm, suitable for wall applications in domestic/light commercial spaces.",22,./extracted_images/SHINE_STONE_BEIGE.jpeg
Stone,Chianca Stone,Porcelain Tiles,Brown,Matt,80x80,"31.49""x31.49""",A05GCHCS-BRN.A0X0R,Wall,Domestic/Light Commercial,,"series Porcelain Tiles in Brown color with a Matt finish, size 80x80 cm, suitable for wall applications in domestic/light commercial spaces.",22,./extracted_images/CHIANCA_STONE_BROWN.jpeg
Stone,Chianca Stone,Porcelain Tiles,Grey,Matt,80x80,"31.49""x31.49""",A05GCHCS-GRY.A0X0R,Wall,Domestic/Light Commercial,,"series Porcelain Tiles in Grey color with a Matt finish, size 80x80 cm, suitable for wall applications in domestic/light commercial spaces.",22,./extracted_images/CHIANCA_STONE_BROWN.jpeg
Stone,Chianca Stone,Porcelain Tiles,White,Matt,80x80,"31.49""x31.49""",A05GCHCS-WHE.A0X0R,Wall,Domestic/Light Commercial,,"series Porcelain Tiles in White color with a Matt finish, size 80x80 cm, suitable for wall applications in domestic/light commercial spaces.",22,./extracted_images/CHIANCA_STONE_WHITE.jpeg
Stone,Chianca Stone,Porcelain Tiles,Beige,Matt,60x120,"23.62""x47.24""",A12GCHCS-BEE.A0X5R,Wall,Domestic/Light Commercial,,"series Porcelain Tiles in Beige color with a Matt finish, size 60x120 cm, suitable for wall applications in domestic/light commercial spaces.",22,./extracted_images/SHINE_STONE_BEIGE.jpeg
Stone,Chianca Stone,Porcelain Tiles,Brown,Matt,60x120,"23.62""x47.24""",A12GCHCS-BRN.A0X5R,Wall,Domestic/Light Commercial,,"series Porcelain Tiles in Brown color with a Matt finish, size 60x120 cm, suitable for wall applications in domestic/light commercial spaces.",22,./extracted_images/CHIANCA_STONE_BROWN.jpeg
Stone,Chianca Stone,Porcelain Tiles,Grey,Matt,60x120,"23.62""x47.24""",A12GCHCS-GRY.A0X5R,Wall,Domestic/Light Commercial,,"series Porcelain Tiles in Grey color with a Matt finish, size 60x120 cm, suitable for wall applications in domestic/light commercial spaces.",22,./extracted_images/CHIANCA_STONE_BROWN.jpeg
Stone,Chianca Stone,Porcelain Tiles,White,Matt,60x120,"23.62""x47.24""",A12GCHCS-WHE.A0X5R,Wall,Domestic/Light Commercial,,"series Porcelain Tiles in White color with a Matt finish, size 60x120 cm, suitable for wall applications in domestic/light commercial spaces.",22,./extracted_images/CHIANCA_STONE_WHITE.jpeg
Stone,Clay Stone,Porcelain Tiles,Beige,Matt,80x80,"31.49""x31.49""",A05GCYSE-BEE.M6X0R,Wall/Floor,Domestic/Light Commercial,,"series Porcelain Tiles in Beige color with a Matt finish, size 80x80 cm, suitable for wall/floor applications in domestic/light commercial spaces.",23,./extracted_images/CLAY_STONE_BEIGE.jpeg
Stone,Clay Stone,Porcelain Tiles,Dark Grey,Matt,80x80,"31.49""x31.49""",A05GCYSE-DKG.M6X0R,Wall/Floor,Domestic/Light Commercial,,"series Porcelain Tiles in Dark Grey color with a Matt finish, size 80x80 cm, suitable for wall/floor applications in domestic/light commercial spaces.",23,./extracted_images/CLAY_STONE_DARK_GREY.jpeg
